က/v|ခြင်း/part	ကခြင်း
မီးတောင်/n|ကြီး/part	မီးတောင်ကြီး
မီးထွန်း/v|ပွဲ/n	မီးထွန်းပွဲ
မီးနံဗတ်ကမ်မဒရပ်/n|မြို့/n	မီးနံဗတ်ကမ်မဒရပ်မြို့
မီးပြင်းတိုက်/v|ခြင်း/part	မီးပြင်းတိုက်ခြင်း
မီးဖိုချောင်/n|အသုံးအဆောင်/n|ပစ္စည်း/n	မီးဖိုချောင်အသုံးအဆောင်ပစ္စည်း
မီးဖုတ်/v|ခြင်း/part	မီးဖုတ်ခြင်း
မီးဖွား/v|ထုံးတမ်း/n	မီးဖွားထုံးတမ်း
မီးရထား/n|စက်ခေါင်း/n	မီးရထားစက်ခေါင်း
မီးရထား/n|ဘူတာရုံ/n	မီးရထားဘူတာရုံ
မီးရှို့/v|ခြင်း/part	မီးရှို့ခြင်း
မီးသတ်/n|ဌာန/n	မီးသတ်ဌာန
မီးအုံး/v|ခြင်း/part	မီးအုံးခြင်း
မုတ္တမ/n|တိုက်ပွဲ/n	မုတ္တမတိုက်ပွဲ
မုတ္တမ/n|တောင်တန်း/n	မုတ္တမတောင်တန်း
မုတ္တမ/n|ပင်လယ်ကွေ့/n	မုတ္တမပင်လယ်ကွေ့
မုတ္တမ/n|မင်းဆက်/n	မုတ္တမမင်းဆက်
မုတ္တမ/n|မြို့/n	မုတ္တမမြို့
မုတ္တမ/n|မြို့စား/n	မုတ္တမမြို့စား
မုတ္တမ/n|မြို့စား/n|စောဗညား/n	မုတ္တမမြို့စားစောဗညား
မုတ္တမဝါရီရူ/n|မင်း/n	မုတ္တမဝါရီရူမင်း
မုတ်သုံ/n|ရာသီဥတု/n	မုတ်သုံရာသီဥတု
မုဒိမ်း/n|မှု/part	မုဒိမ်းမှု
မုန့်ဖိုး/n|ပိုက်ဆံ/n	မုန့်ဖိုးပိုက်ဆံ
မုယော/n|စပါး/n	မုယောစပါး
မုံတဝ/n|ဂူ/n	မုံတဝဂူ
မုံရွာ/n|မြို့/n	မုံရွာမြို့
မုံရွေး/n|ဆရာတော်/n	မုံရွေးဆရာတော်
မူဂယ်/n|ဘုရင်/n	မူဂယ်ဘုရင်
မူဂယ်/n|အင်ပိုင်ယာ/n	မူဂယ်အင်ပိုင်ယာ
မူတည်/v|ခြင်း/part	မူတည်ခြင်း
မူရင်း/n|ကျမ်း/n	မူရင်းကျမ်း
မူလ/n|ဒေသခံ/n	မူလဒေသခံ
မူလ/n|ရင်းမြစ်/n	မူလရင်းမြစ်
မူလ/n|အစ/n	မူလအစ
မူလတန်း/n|ကျောင်း/n	မူလတန်းကျောင်း
မူလတန်း/n|ပညာ/n	မူလတန်းပညာ
မူလတန်း/n|ပညာ/n|ရေး/part	မူလတန်းပညာရေး
မူလတန်းကြို/n|ကျောင်း/n	မူလတန်းကြိုကျောင်း
မူဝါဒ/n|ဆိုင်ရာ/n	မူဝါဒဆိုင်ရာ
မူဝါဒ/n|လမ်းစဉ်/n	မူဝါဒလမ်းစဉ်
မူး/n|မြစ်/n	မူးမြစ်
မူးယစ်ဆေးဝါး/n|တိုက်ဖျက်/v|ချေမှုန်း/v|ရေး/part	မူးယစ်ဆေးဝါးတိုက်ဖျက်ချေမှုန်းရေး
မူးယစ်ဆေးဝါး/n|တိုက်ဖျက်/v|ရေး/part|အောင်ပွဲ/n	မူးယစ်ဆေးဝါးတိုက်ဖျက်ရေးအောင်ပွဲ
မေ/n|မြို့နယ်/n	မေမြို့နယ်
မေ/n|လ/n	မေလ
မေခ/n|ချိုင့်ဝှမ်း/n	မေခချိုင့်ဝှမ်း
မေတ္တာရပ်ခံ/v|ချက်/part	မေတ္တာရပ်ခံချက်
မေထုန်/n|ရာသီအိမ်/n	မေထုန်ရာသီအိမ်
မောင်/n|ဝမ်းကွဲ/n	မောင်ဝမ်းကွဲ
မောင်ငံ/n|ဆွမ်းတော်ကြီး/n	မောင်ငံဆွမ်းတော်ကြီး
မောင်ငံ/n|ရပ်/n	မောင်ငံရပ်
မောင်မောင်ကျော်/n|ဆို/v|သူ/n	မောင်မောင်ကျော်ဆိုသူ
မောင်ရီ/n|လူမျိုး/n	မောင်ရီလူမျိုး
မောင်ရီ/n|အဖွဲ့/n	မောင်ရီအဖွဲ့
မောင့်/n|စကား/n	မောင့်စကား
မောတောင်ကြား/n|ကားလမ်း/n	မောတောင်ကြားကားလမ်း
မောရိယ/n|နိုင်ငံတော်/n|ကြီး/part	မောရိယနိုင်ငံတော်ကြီး
မောရိယ/n|မင်းဆက်/n	မောရိယမင်းဆက်
မော့တမော့/n|မြို့/n	မော့တမော့မြို့
မော်တင်စွန်း/n|ဘုရား/n|ပွဲ/n	မော်တင်စွန်းဘုရားပွဲ
မော်တင်စွန်း/n|အငူ/n	မော်တင်စွန်းအငူ
မော်တော်ယာဉ်/n|ထုတ်လုပ်/v|ရေး/part|လုပ်ငန်း/n	မော်တော်ယာဉ်ထုတ်လုပ်ရေးလုပ်ငန်း
မော်တော်ယာဉ်/n|လိုင်း/n	မော်တော်ယာဉ်လိုင်း
မော်လဒိုက်/n|နိုင်ငံ/n	မော်လဒိုက်နိုင်ငံ
မော်လမြိုင်/n|တက္ကသိုလ်/n	မော်လမြိုင်တက္ကသိုလ်
မော်လမြိုင်/n|မြို့/n	မော်လမြိုင်မြို့
မော်လမြိုင်/n|မြို့နယ်/n	မော်လမြိုင်မြို့နယ်
မော်လမြိုင်/n|လေဆိပ်/n	မော်လမြိုင်လေဆိပ်
မော်လမြိုင်ကျွန်း/n|မြို့/n	မော်လမြိုင်ကျွန်းမြို့
မော်လီကျူး/n|သတ္တိ/n	မော်လီကျူးသတ္တိ
မေး/v|စရာ/part	မေးစရာ
မေးမြန်း/v|ခြင်း/part	မေးမြန်းခြင်း
မဲ/n|စနစ်/n	မဲစနစ်
မဲခေါင်/n|မြစ်/n	မဲခေါင်မြစ်
မဲခေါင်/n|မြစ်ဝှမ်း/n	မဲခေါင်မြစ်ဝှမ်း
မဲခေါင်/n|မြစ်ဝှမ်းဒေသ/n	မဲခေါင်မြစ်ဝှမ်းဒေသ
မဲဆန္ဒ/n|နယ်/n	မဲဆန္ဒနယ်
မဲဆန္ဒ/n|ပေး/v|ခြင်း/part	မဲဆန္ဒပေးခြင်း
မဲနည်/n|ပင်/n	မဲနည်ပင်
မဲနမ်/n|မြစ်/n	မဲနမ်မြစ်
မဲပေး/v|ခြင်း/part	မဲပေးခြင်း
မျက်စိ/n|နံရံ/n	မျက်စိနံရံ
မျက်စိ/n|ရောဂါ/n	မျက်စိရောဂါ
မျက်စိကျ/v|ရာ/part	မျက်စိကျရာ
မျက်နှာဖြူ/n|လူမျိုး/n	မျက်နှာဖြူလူမျိုး
မျက်မမြင်/n|ကျောင်း/n	မျက်မမြင်ကျောင်း
မျက်မြင်/n|လောက/n	မျက်မြင်လောက
မျက်မှန်/n|အိတ်/n	မျက်မှန်အိတ်
မျက်မှောက်/n|ခေတ်/n	မျက်မှောက်ခေတ်
မျက်လှည့်/n|ဆရာ/n	မျက်လှည့်ဆရာ
များ/adj|ခြင်း/part	များခြင်း
များပြား/adj|ခြင်း/part	များပြားခြင်း
မျိုး/n|ကွဲ/n	မျိုးကွဲ
မျိုး/n|တူ/n	မျိုးတူ
မျိုးချစ်/n|ပုဂ္ဂိုလ်/n	မျိုးချစ်ပုဂ္ဂိုလ်
မျိုးချစ်/n|ပုဂ္ဂိုလ်/n|ကြီး/part	မျိုးချစ်ပုဂ္ဂိုလ်ကြီး
မျိုးချစ်/n|ဗမာ့/n|တပ်မတော်/n	မျိုးချစ်ဗမာ့တပ်မတော်
မျိုးချစ်/n|ဗမာ့/n|တပ်မတော်သား/n	မျိုးချစ်ဗမာ့တပ်မတော်သား
မျိုးချစ်/n|အရေးတော်ပုံ/n	မျိုးချစ်အရေးတော်ပုံ
မျိုးစေ့ချ/v|စိုက်ပျိုး/v|ခြင်း/part	မျိုးစေ့ချစိုက်ပျိုးခြင်း
မျိုးတုန်း/v|ခြင်း/part	မျိုးတုန်းခြင်း
မျိုးတုံး/v|ပျောက်ကွယ်/v|မှု/part	မျိုးတုံးပျောက်ကွယ်မှု
မျိုးတွင်း/n|အိမ်ထောင်/v|ခြင်း/part	မျိုးတွင်းအိမ်ထောင်ခြင်း
မျိုးနွယ်/n|စု/n	မျိုးနွယ်စု
မျိုးပ/n|အိမ်ထောင်/v|ခြင်း/part	မျိုးပအိမ်ထောင်ခြင်း
မျိုးပွား/v|ခြင်း/part	မျိုးပွားခြင်း
မျိုးပွား/v|မှု/part	မျိုးပွားမှု
မျိုးရင်း/n|ဝင်/v	မျိုးရင်းဝင်
မျိုးရိုး/n|ဂုဏ်သိက္ခာ/n	မျိုးရိုးဂုဏ်သိက္ခာ
မျိုးရိုး/n|စဉ်ဆက်/n	မျိုးရိုးစဉ်ဆက်
မျိုးရိုး/n|ဇာတိ/n	မျိုးရိုးဇာတိ
မျိုးရိုး/n|ပညာ/n	မျိုးရိုးပညာ
မျိုးရိုး/n|ဗီဇ/n	မျိုးရိုးဗီဇ
မျိုးရိုး/n|ရုပ်သွင်/n	မျိုးရိုးရုပ်သွင်
မျူနီစီပယ်/n|ရပ်ကွက်/n	မျူနီစီပယ်ရပ်ကွက်
မျူနီစီပယ်/n|ရုံး/n	မျူနီစီပယ်ရုံး
မျူနီစီပယ်/n|အဖွဲ့/n	မျူနီစီပယ်အဖွဲ့
မျောက်/n|ခေါင်းဆောင်/n	မျောက်ခေါင်းဆောင်
မျောက်/n|မျက်နှာ/n	မျောက်မျက်နှာ
မျောက်/n|မျိုးကွဲ/n	မျောက်မျိုးကွဲ
မျောက်/n|အုပ်/n	မျောက်အုပ်
မျောက်နီ/n|အုပ်/n|ကြီး/part	မျောက်နီအုပ်ကြီး
မျှတ/adj|မှု/part	မျှတမှု
မျှတ/v|နေ/part|ခြင်း/part	မျှတနေခြင်း
မျှော်တလင့်လင့်/n|ဝတ္ထု/n	မျှော်တလင့်လင့်ဝတ္ထု
မျှော်မှန်း/v|ခဲ့/part|သူ/n	မျှော်မှန်းခဲ့သူ
မျှော်မှန်း/v|ချက်/part	မျှော်မှန်းချက်
မျှော်လင့်ချက်/n|ရောင်ခြည်/n	မျှော်လင့်ချက်ရောင်ခြည်
မြ/n|သပိတ်/n|ကြီး/part	မြသပိတ်ကြီး
မြ/n|သပိတ်/n|ရည်/n	မြသပိတ်ရည်
မြကန်သာ/n|ကဗျာ/n	မြကန်သာကဗျာ
မြက်ခင်း/n|ကြီး/part	မြက်ခင်းကြီး
မြက်ပါး/n|ရပ်/n	မြက်ပါးရပ်
မြင်/v|ခဲ့/part|သူ/n	မြင်ခဲ့သူ
မြင်/v|ခြင်း/part	မြင်ခြင်း
မြင်/v|စွမ်း/v|နိုင်/part|ခြင်း/part	မြင်စွမ်းနိုင်ခြင်း
မြင်/v|နိုင်/part|ခြင်း/part	မြင်နိုင်ခြင်း
မြင်/v|ရ/part|ခဲ/part|ခြင်း/part	မြင်ရခဲခြင်း
မြင်/v|ရ/part|ပုံ/part	မြင်ရပုံ
မြင့်/adj|လွန်း/part|ခြင်း/part	မြင့်လွန်းခြင်း
မြင့်တက်/v|လာ/part|ခဲ့/part|ခြင်း/part	မြင့်တက်လာခဲ့ခြင်း
မြင့်မား/adj|မှု/part	မြင့်မားမှု
မြင်း/n|ကြီး/part	မြင်းကြီး
မြင်း/n|စီး/v	မြင်းစီး
မြင်း/n|ဇက်/n	မြင်းဇက်
မြင်း/n|ထီး/n	မြင်းထီး
မြင်း/n|ပြိုင်ကွင်း/n	မြင်းပြိုင်ကွင်း
မြင်း/n|ပြိုင်ပွဲ/n	မြင်းပြိုင်ပွဲ
မြင်း/n|ရိုး/n	မြင်းရိုး
မြင်း/n|အံသွား/n	မြင်းအံသွား
မြင်းကပါ/n|ဘုရား/n	မြင်းကပါဘုရား
မြင်းကပါ/n|အရပ်/n	မြင်းကပါအရပ်
မြင်းချည်တိုင်/n|ရွာ/n	မြင်းချည်တိုင်ရွာ
မြင်းခြံ/n|ခရိုင်/n	မြင်းခြံခရိုင်
မြင်းလှည်းသမား/n|ဘဝ/n	မြင်းလှည်းသမားဘဝ
မြစိမ်းရောင်/n|စေတီ/n	မြစိမ်းရောင်စေတီ
မြစေတီ/n|ဖောင့်/n	မြစေတီဖောင့်
မြစေတီ/n|ယူနီကုဒ်/n	မြစေတီယူနီကုဒ်
မြစေတီ/n|ဝက်ဘ်ဆိုက်/n	မြစေတီဝက်ဘ်ဆိုက်
မြစ်/n|ကမ်းစပ်/n	မြစ်ကမ်းစပ်
မြစ်/n|ကြီး/part	မြစ်ကြီး
မြစ်/n|တွင်း/n	မြစ်တွင်း
မြစ်/n|ပါးစပ်/n	မြစ်ပါးစပ်
မြစ်ကမ်းပါး/n|ဒေသ/n	မြစ်ကမ်းပါးဒေသ
မြစ်ကြီးနား/n|ခရိုင်/n	မြစ်ကြီးနားခရိုင်
မြစ်ကြီးနား/n|ဒေသ/n	မြစ်ကြီးနားဒေသ
မြစ်ကြီးနား/n|မြို့/n	မြစ်ကြီးနားမြို့
မြစ်ကြီးနား/n|မြို့နယ်/n	မြစ်ကြီးနားမြို့နယ်
မြစ်ကြီးနား/n|ဥပစာ/n|ကောလိပ်/n	မြစ်ကြီးနားဥပစာကောလိပ်
မြစ်ဖျားခံ/v|ရာ/part	မြစ်ဖျားခံရာ
မြစ်လက်တက်/n|ကြီး/part	မြစ်လက်တက်ကြီး
မြစ်ဝကျွန်းပေါ်/n|ဒေသ/n	မြစ်ဝကျွန်းပေါ်ဒေသ
မြစ်ဝါ/n|မြစ်ဝှမ်း/n|ဒေသ/n	မြစ်ဝါမြစ်ဝှမ်းဒေသ
မြစ်ဝှမ်း/n|ဒေသ/n	မြစ်ဝှမ်းဒေသ
မြစ်ဝှမ်း/n|ဒေသ/n|ကြီး/part	မြစ်ဝှမ်းဒေသကြီး
မြစ်ဝှမ်းမြေနိမ့်/n|ဒေသ/n	မြစ်ဝှမ်းမြေနိမ့်ဒေသ
မြစ်ဝှမ်းမြေနိမ့်လွင်ပြင်/n|ဒေသ/n	မြစ်ဝှမ်းမြေနိမ့်လွင်ပြင်ဒေသ
မြတောင်/n|ရွာ/n	မြတောင်ရွာ
မြတောင်/n|သူ/n	မြတောင်သူ
မြတ်စွာဘုရား/n|သခင်/n	မြတ်စွာဘုရားသခင်
မြနန်းစံကျော်/n|ရွှေနန်းတော်ကြီး/n	မြနန်းစံကျော်ရွှေနန်းတော်ကြီး
မြန်မာ/n|ကင်န်ပိန်း/n	မြန်မာကင်န်ပိန်း
မြန်မာ/n|ကိုယ်စားလှယ်/n|အဖွဲ့/n	မြန်မာကိုယ်စားလှယ်အဖွဲ့
မြန်မာ/n|ကောက်တော်/n	မြန်မာကောက်တော်
မြန်မာ/n|ကောင်စီ/n	မြန်မာကောင်စီ
မြန်မာ/n|ကျောက်စာ/n	မြန်မာကျောက်စာ
မြန်မာ/n|ကျောင်းသား/n	မြန်မာကျောင်းသား
မြန်မာ/n|ကျေးတော/n	မြန်မာကျေးတော
မြန်မာ/n|ကြက်ခြေနီ/n|အသင်း/n	မြန်မာကြက်ခြေနီအသင်း
မြန်မာ/n|ကွန်မြူနစ်/n|ကလပ်စည်း/n	မြန်မာကွန်မြူနစ်ကလပ်စည်း
မြန်မာ/n|ခေါင်းဆောင်/n	မြန်မာခေါင်းဆောင်
မြန်မာ/n|ဂီတ/n	မြန်မာဂီတ
မြန်မာ/n|ဂျာနယ်/n	မြန်မာဂျာနယ်
မြန်မာ/n|စကား/n	မြန်မာစကား
မြန်မာ/n|စကားပုံ/n	မြန်မာစကားပုံ
မြန်မာ/n|စကားလုံး/n	မြန်မာစကားလုံး
မြန်မာ/n|စစ်/n|အစိုးရ/n	မြန်မာစစ်အစိုးရ
မြန်မာ/n|စစ်တပ်/n	မြန်မာစစ်တပ်
မြန်မာ/n|စစ်ပွဲ/n	မြန်မာစစ်ပွဲ
မြန်မာ/n|စစ်သည်/n	မြန်မာစစ်သည်
မြန်မာ/n|စာ/n	မြန်မာစာ
မြန်မာ/n|စာ/n|စနစ်/n|ဆိုင်ရာ/n	မြန်မာစာစနစ်ဆိုင်ရာ
မြန်မာ/n|စာ/n|ဆရာ/n|ဖြစ်/v|သင်တန်း/n	မြန်မာစာဆရာဖြစ်သင်တန်း
မြန်မာ/n|စာ/n|အဖွဲ့/n	မြန်မာစာအဖွဲ့
မြန်မာ/n|စာပေ/n	မြန်မာစာပေ
မြန်မာ/n|စာပေ/n|နယ်/n	မြန်မာစာပေနယ်
မြန်မာ/n|စာပေ/n|နယ်ပယ်/n	မြန်မာစာပေနယ်ပယ်
မြန်မာ/n|စာပေ/n|ပညာရှင်/n|ကြီး/part	မြန်မာစာပေပညာရှင်ကြီး
မြန်မာ/n|စာပေ/n|လောက/n	မြန်မာစာပေလောက
မြန်မာ/n|စာပေ/n|သမိုင်း/n	မြန်မာစာပေသမိုင်း
မြန်မာ/n|စံတော်ချိန်/n	မြန်မာစံတော်ချိန်
မြန်မာ/n|စံတော်ချိန်/n|မျဉ်း/n	မြန်မာစံတော်ချိန်မျဉ်း
မြန်မာ/n|စွယ်စုံကျမ်း/n	မြန်မာစွယ်စုံကျမ်း
မြန်မာ/n|ဆိပ်ကမ်း/n	မြန်မာဆိပ်ကမ်း
မြန်မာ/n|ဆိုင်ကလုန်း/n|ရန်ပုံငွေ/n	မြန်မာဆိုင်ကလုန်းရန်ပုံငွေ
မြန်မာ/n|ဆေးကျမ်း/n	မြန်မာဆေးကျမ်း
မြန်မာ/n|တပ်/n	မြန်မာတပ်
မြန်မာ/n|တပ်မတော်/n	မြန်မာတပ်မတော်
မြန်မာ/n|ဒီမိုကရေစီ/n|ခေါင်းဆောင်/n	မြန်မာဒီမိုကရေစီခေါင်းဆောင်
မြန်မာ/n|ဒုက္ခသည်/n	မြန်မာဒုက္ခသည်
မြန်မာ/n|ဒေသ/n	မြန်မာဒေသ
မြန်မာ/n|နာရီ/n	မြန်မာနာရီ
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
မြန်မာ/n|နိုင်ငံ/n|ကြီး/part	မြန်မာနိုင်ငံကြီး
မြန်မာ/n|နိုင်ငံ/n|ကွန်ပျူတာ/n|အသင်းချုပ်/n	မြန်မာနိုင်ငံကွန်ပျူတာအသင်းချုပ်
မြန်မာ/n|နိုင်ငံ/n|စီမံကိန်း/n	မြန်မာနိုင်ငံစီမံကိန်း
မြန်မာ/n|နိုင်ငံ/n|ညွန့်ပေါင်း/n|အစိုးရ/n	မြန်မာနိုင်ငံညွန့်ပေါင်းအစိုးရ
မြန်မာ/n|နိုင်ငံ/n|တွင်း/n	မြန်မာနိုင်ငံတွင်း
မြန်မာ/n|နိုင်ငံ/n|ဖွဲ့စည်းအုပ်ချုပ်ပုံ/n|အခြေခံ/n|ဥပဒေ/n	မြန်မာနိုင်ငံဖွဲ့စည်းအုပ်ချုပ်ပုံအခြေခံဥပဒေ
မြန်မာ/n|နိုင်ငံ/n|လုံး/part|ဆိုင်ရာ/n	မြန်မာနိုင်ငံလုံးဆိုင်ရာ
မြန်မာ/n|နိုင်ငံ/n|လုံး/part|ဆိုင်ရာ/n|ကျောင်းသား/n	မြန်မာနိုင်ငံလုံးဆိုင်ရာကျောင်းသား
မြန်မာ/n|နိုင်ငံ/n|လုံး/part|ဆိုင်ရာ/n|ကျောင်းသား/n|သမဂ္ဂ/n	မြန်မာနိုင်ငံလုံးဆိုင်ရာကျောင်းသားသမဂ္ဂ
မြန်မာ/n|နိုင်ငံ/n|လုံး/part|ဆိုင်ရာ/n|လူငယ်/n	မြန်မာနိုင်ငံလုံးဆိုင်ရာလူငယ်
မြန်မာ/n|နိုင်ငံ/n|အစိုးရ/n|ခေါင်းဆောင်/n	မြန်မာနိုင်ငံအစိုးရခေါင်းဆောင်
မြန်မာ/n|နိုင်ငံတော်/n	မြန်မာနိုင်ငံတော်
မြန်မာ/n|နိုင်ငံတော်/n|ကြီး/part	မြန်မာနိုင်ငံတော်ကြီး
မြန်မာ/n|နိုင်ငံတော်/n|အစိုးရ/n	မြန်မာနိုင်ငံတော်အစိုးရ
မြန်မာ/n|နိုင်ငံရေးသမား/n	မြန်မာနိုင်ငံရေးသမား
မြန်မာ/n|နိုင်ငံသား/n	မြန်မာနိုင်ငံသား
မြန်မာ/n|နှစ်/n|ဆန်း/n	မြန်မာနှစ်ဆန်း
မြန်မာ/n|နှစ်ခြင်း/n|ကွန်ဗင်ရှင်း/n	မြန်မာနှစ်ခြင်းကွန်ဗင်ရှင်း
မြန်မာ/n|ပညာရှိ/n	မြန်မာပညာရှိ
မြန်မာ/n|ပြက္ခဒိန်/n	မြန်မာပြက္ခဒိန်
မြန်မာ/n|ပြက္ခဒိန်/n|ကျမ်း/n	မြန်မာပြက္ခဒိန်ကျမ်း
မြန်မာ/n|ပြည်/n	မြန်မာပြည်
မြန်မာ/n|ပြည်/n|တွင်း/n	မြန်မာပြည်တွင်း
မြန်မာ/n|ပြည်/n|လွတ်လပ်/v|ရေး/part	မြန်မာပြည်လွတ်လပ်ရေး
မြန်မာ/n|ပြည်ထောင်စုသား/n	မြန်မာပြည်ထောင်စုသား
မြန်မာ/n|ပြည်မ/n	မြန်မာပြည်မ
မြန်မာ/n|ပြည်သူ/n	မြန်မာပြည်သူ
မြန်မာ/n|ပြည်သူပြည်သား/n	မြန်မာပြည်သူပြည်သား
မြန်မာ/n|ဖောင့်/n	မြန်မာဖောင့်
မြန်မာ/n|ဗေဒင်/n|ကျမ်း/n	မြန်မာဗေဒင်ကျမ်း
မြန်မာ/n|ဗေဒင်/n|ပညာ/n	မြန်မာဗေဒင်ပညာ
မြန်မာ/n|ဘာသာ/n	မြန်မာဘာသာ
မြန်မာ/n|ဘာသာစကား/n	မြန်မာဘာသာစကား
မြန်မာ/n|ဘုရင်/n	မြန်မာဘုရင်
မြန်မာ/n|ဘုရင်/n|အလောင်းဘုရား/n	မြန်မာဘုရင်အလောင်းဘုရား
မြန်မာ/n|ဘုရင်/n|အုပ်ချုပ်/v|ရေး/part	မြန်မာဘုရင်အုပ်ချုပ်ရေး
မြန်မာ/n|မင်း/n	မြန်မာမင်း
မြန်မာ/n|မန်နေဂျာ/n	မြန်မာမန်နေဂျာ
မြန်မာ/n|မွေးသက္ကရာဇ်/n	မြန်မာမွေးသက္ကရာဇ်
မြန်မာ/n|မှု/part	မြန်မာမှု
မြန်မာ/n|ယူနီကုဒ်/n	မြန်မာယူနီကုဒ်
မြန်မာ/n|ယူနီကုဒ်/n|စနစ်/n	မြန်မာယူနီကုဒ်စနစ်
မြန်မာ/n|ယူနီကုဒ်/n|ဖြစ်မြောက်/v|ရေး/part|အဖွဲ့/n	မြန်မာယူနီကုဒ်ဖြစ်မြောက်ရေးအဖွဲ့
မြန်မာ/n|ရာဇဝင်/n	မြန်မာရာဇဝင်
မြန်မာ/n|လယ်သမား/n	မြန်မာလယ်သမား
မြန်မာ/n|လူ/n	မြန်မာလူ
မြန်မာ/n|လူငယ်/n	မြန်မာလူငယ်
မြန်မာ/n|လူထု/n|ကြီး/part	မြန်မာလူထုကြီး
မြန်မာ/n|လူမျိုး/n	မြန်မာလူမျိုး
မြန်မာ/n|လူမှု/n|ရေး/part|စနစ်/n	မြန်မာလူမှုရေးစနစ်
မြန်မာ/n|ဝက်ဘ်ဆိုက်/n	မြန်မာဝက်ဘ်ဆိုက်
မြန်မာ/n|ဝတ္ထုတို/n	မြန်မာဝတ္ထုတို
မြန်မာ/n|ဝီကီ/n	မြန်မာဝီကီ
မြန်မာ/n|ဝီကီပီးဒီးယား/n	မြန်မာဝီကီပီးဒီးယား
မြန်မာ/n|သက္ကရာဇ်/n	မြန်မာသက္ကရာဇ်
မြန်မာ/n|သတင်း/n|အေဂျင်စီ/n	မြန်မာသတင်းအေဂျင်စီ
မြန်မာ/n|သတင်းစာ/n	မြန်မာသတင်းစာ
မြန်မာ/n|သမိုင်း/n|ပညာရှင်/n	မြန်မာသမိုင်းပညာရှင်
မြန်မာ/n|သူဟောင်း/n	မြန်မာသူဟောင်း
မြန်မာ/n|သံရုံး/n	မြန်မာသံရုံး
မြန်မာ/n|သံအမတ်/n|ကြီး/part	မြန်မာသံအမတ်ကြီး
မြန်မာ/n|အက္ခရာ/n	မြန်မာအက္ခရာ
မြန်မာ/n|အင်ပါယာ/n	မြန်မာအင်ပါယာ
မြန်မာ/n|အင်ပါယာ/n|ကြီး/part	မြန်မာအင်ပါယာကြီး
မြန်မာ/n|အစိုးရ/n	မြန်မာအစိုးရ
မြန်မာ/n|အစိုးရ/n|အာဏာ/n	မြန်မာအစိုးရအာဏာ
မြန်မာ/n|အတိုက်အခံ/n|ခေါင်းဆောင်/n	မြန်မာအတိုက်အခံခေါင်းဆောင်
မြန်မာ/n|အတိုက်အခံ/n|ပါတီ/n	မြန်မာအတိုက်အခံပါတီ
မြန်မာ/n|အထက်တန်း/n|ကျောင်း/n	မြန်မာအထက်တန်းကျောင်း
မြန်မာ/n|အမျိုးသမီး/n	မြန်မာအမျိုးသမီး
မြန်မာ/n|အမျိုးသား/n|ခေါင်းဆောင်/n	မြန်မာအမျိုးသားခေါင်းဆောင်
မြန်မာ/n|အမျိုးသား/n|စာပေ/n|ဆု/n	မြန်မာအမျိုးသားစာပေဆု
မြန်မာ/n|အရာရှိ/n	မြန်မာအရာရှိ
မြန်မာ/n|အသံထွက်/n	မြန်မာအသံထွက်
မြန်မာ/n|အာဏာပိုင်/n	မြန်မာအာဏာပိုင်
မြန်မာ/n|အီးဂရက်စ်/n	မြန်မာအီးဂရက်စ်
မြန်မာနိုင်ငံရေးသမား/n|ကြီး/part	မြန်မာနိုင်ငံရေးသမားကြီး
မြန်မာ့/n|ကနေဒီယန်/n	မြန်မာ့ကနေဒီယန်
မြန်မာ့/n|ကာကွယ်/v|ရေး/part|တပ်မတော်/n	မြန်မာ့ကာကွယ်ရေးတပ်မတော်
မြန်မာ့/n|ကျောက်ခေတ်/n	မြန်မာ့ကျောက်ခေတ်
မြန်မာ့/n|ကျောက်ခေတ်/n|လူ/n	မြန်မာ့ကျောက်ခေတ်လူ
မြန်မာ့/n|ကြည်းတပ်/n	မြန်မာ့ကြည်းတပ်
မြန်မာ့/n|ခမောက်/n	မြန်မာ့ခမောက်
မြန်မာ့/n|ဂန္ထဝင်/n	မြန်မာ့ဂန္ထဝင်
မြန်မာ့/n|စစ်/n	မြန်မာ့စစ်
မြန်မာ့/n|စာပေ/n	မြန်မာ့စာပေ
မြန်မာ့/n|စီးပွား/n|ရေး/part|ကဏ္ဍ/n	မြန်မာ့စီးပွားရေးကဏ္ဍ
မြန်မာ့/n|စံ/n	မြန်မာ့စံ
မြန်မာ့/n|စွယ်စုံကျမ်း/n	မြန်မာ့စွယ်စုံကျမ်း
မြန်မာ့/n|ဆိုရှယ်လစ်/n|စနစ်/n|လမ်းစဉ်/n	မြန်မာ့ဆိုရှယ်လစ်စနစ်လမ်းစဉ်
မြန်မာ့/n|ဆိုရှယ်လစ်/n|လမ်းစဉ်/n	မြန်မာ့ဆိုရှယ်လစ်လမ်းစဉ်
မြန်မာ့/n|ဆိုရှယ်လစ်/n|လမ်းစဉ်/n|စနစ်/n	မြန်မာ့ဆိုရှယ်လစ်လမ်းစဉ်စနစ်
မြန်မာ့/n|ဆိုရှယ်လစ်/n|လမ်းစဉ်/n|ပါတီ/n	မြန်မာ့ဆိုရှယ်လစ်လမ်းစဉ်ပါတီ
မြန်မာ့/n|ဆိုရှယ်လစ်လမ်းစဉ်/n|ပါတီ/n	မြန်မာ့ဆိုရှယ်လစ်လမ်းစဉ်ပါတီ
