ဆရာကြီး/n|ဦးစိန်/n	ဆရာကြီးဦးစိန်
ကွန်ပျူတာ/n|ဖောင့်/n	ကွန်ပျူတာဖောင့်
ရွှေနှင့်မြ/n|ဖောင့်/n	ရွှေနှင့်မြဖောင့်
ရေညှိ/n|အစိမ်းပုပ်/n|ရောင်/n	ရေညှိအစိမ်းပုပ်ရောင်
စီးပွား/n|ရေး/part	စီးပွားရေး
ထိန်း/v|ထား/part|နိုင်/part|ခြင်း/part	ထိန်းထားနိုင်ခြင်း
အပြည်ပြည်/n|ဆိုင်ရာ/n	အပြည်ပြည်ဆိုင်ရာ
လူ့/n|အခွင့်အရေး/n	လူ့အခွင့်အရေး
တရား/n|ဥပဒေ/n	တရားဥပဒေ
ကျင့်သုံး/v|မှု/part	ကျင့်သုံးမှု
အပြစ်/n|ရှိ/v|ကြောင်း/part	အပြစ်ရှိကြောင်း
ရှုပ်ထွေး/v|မှု/part	ရှုပ်ထွေးမှု
သေဒဏ်ပေး/v|မှု/part	သေဒဏ်ပေးမှု
ရန်ကုန်/n|တက္ကသိုလ်/n	ရန်ကုန်တက္ကသိုလ်
စီးပွား/n|ရေး/part|စနစ်/n	စီးပွားရေးစနစ်
လူနေမှု/n|အဆင့်အတန်း/n	လူနေမှုအဆင့်အတန်း
အငြင်းပွား/v|မှု/part	အငြင်းပွားမှု
တရုတ်/n|ပြည်သူ့/n|လွတ်မြောက်/v|ရေး/part|တပ်မတော်/n	တရုတ်ပြည်သူ့လွတ်မြောက်ရေးတပ်မတော်
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
မြောက်/n|ပိုင်း/part	မြောက်ပိုင်း
ပျူ/n|တိုင်းပြည်/n	ပျူတိုင်းပြည်
တရုတ်/n|နိုင်ငံ/n	တရုတ်နိုင်ငံ
ကုန်သွယ်/v|ရေး/part	ကုန်သွယ်ရေး
မဂဒူး/n|မင်းဆက်/n	မဂဒူးမင်းဆက်
ပျဉ်းမနား/n|မြို့/n	ပျဉ်းမနားမြို့
သူတောင်းစား/n|လုပ်/v|ခြင်း/part	သူတောင်းစားလုပ်ခြင်း
မာစီ/n|မလေးရှား/n	မာစီမလေးရှား
မလေးရှား/n|နိုင်ငံ/n	မလေးရှားနိုင်ငံ
ကယ်ဆယ်/v|ရေး/part|အသင်း/n	ကယ်ဆယ်ရေးအသင်း
တိုက်ခတ်/v|ခဲ့/part|မှု/part	တိုက်ခတ်ခဲ့မှု
အဖွဲ့/n|ဝင်/v	အဖွဲ့ဝင်
ကယ်ဆယ်/v|ရေး/part|အဖွဲ့/n	ကယ်ဆယ်ရေးအဖွဲ့
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
ရန်ကုန်/n|မြို့/n	ရန်ကုန်မြို့
သာသနာပြု/n|မစ်ရှင်/n	သာသနာပြုမစ်ရှင်
ခရစ်ယာန်/n|ဘာသာ/n	ခရစ်ယာန်ဘာသာ
ကိုးကွယ်/v|သူ/n	ကိုးကွယ်သူ
ကျွန်/n|သက်/n	ကျွန်သက်
မြိတ်/n|မြို့သူ/n|မြို့သား/n	မြိတ်မြို့သူမြို့သား
အလယ်/n|ပိုင်း/part	အလယ်ပိုင်း
မြစ်ဝှမ်းမြေနိမ့်/n|ဒေသ/n	မြစ်ဝှမ်းမြေနိမ့်ဒေသ
ဇီးဖြူ/n|တောင်တန်း/n	ဇီးဖြူတောင်တန်း
မင်းဝံ/n|တောင်တန်း/n	မင်းဝံတောင်တန်း
မှန်ကင်း/n|တောင်တန်း/n	မှန်ကင်းတောင်တန်း
ဂန့်ဂေါ/n|တောင်တန်း/n	ဂန့်ဂေါတောင်တန်း
လုံခြုံ/v|ရေး/part	လုံခြုံရေး
တနင်္သာရီ/n|မြို့/n	တနင်္သာရီမြို့
သမုဒ္ဒရာကင်း/n|မြို့/n	သမုဒ္ဒရာကင်းမြို့
တောနောက်လယ်/n|ကျေးရွာ/n|မြို့/n	တောနောက်လယ်ကျေးရွာမြို့
ကြိတ်/v|မိ/part|ခြင်း/part	ကြိတ်မိခြင်း
အုပ်ချုပ်/v|မှု/part	အုပ်ချုပ်မှု
ရေနံချောင်း/n|အမျိုးသား/n|ကျောင်း/n	ရေနံချောင်းအမျိုးသားကျောင်း
နန်းစော/n|နိုင်ငံ/n	နန်းစောနိုင်ငံ
မြစ်ဝကျွန်းပေါ်/n|ဒေသ/n	မြစ်ဝကျွန်းပေါ်ဒေသ
ဒီဂရီ/n|စင်တီဂရိတ်/n	ဒီဂရီစင်တီဂရိတ်
ဒီဂရီ/n|ဖာရင်ဟိုက်/n	ဒီဂရီဖာရင်ဟိုက်
အတိုက်အခံ/n|ပါတီ/n	အတိုက်အခံပါတီ
လူ့/n|အခွင့်အရေး/n|အဖွဲ့/n	လူ့အခွင့်အရေးအဖွဲ့
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
ဇွန်/n|လ/n	ဇွန်လ
ပရဟိတ/n|အလုပ်/n	ပရဟိတအလုပ်
သန်တူ/n|လ/n	သန်တူလ
မိုး/n|ဥတု/n|ရာသီ/n	မိုးဥတုရာသီ
ဝေါဟာရ/n|လီနတ္ထဒီပနီ/n|ကျမ်း/n	ဝေါဟာရလီနတ္ထဒီပနီကျမ်း
တရုတ်/n|ပြည်/n	တရုတ်ပြည်
ယူနန်/n|ပြည်နယ်/n	ယူနန်ပြည်နယ်
ဂျပန်/n|စစ်တပ်/n	ဂျပန်စစ်တပ်
ဝက်သား/n|စည်သွတ်/v|လုပ်ငန်း/n	ဝက်သားစည်သွတ်လုပ်ငန်း
ရှိကားဂိုး/n|မြို့/n	ရှိကားဂိုးမြို့
ကင်းဆပ်/n|မြို့/n	ကင်းဆပ်မြို့
အိုမာဟာ/n|မြို့/n	အိုမာဟာမြို့
နားလည်/v|တတ်/part|သူ/n	နားလည်တတ်သူ
လူ့/n|အခွင့်အရေး/n	လူ့အခွင့်အရေး
ချိုးဖောက်/v|မှု/part	ချိုးဖောက်မှု
တိုတယ်/n|ကုမ္ပဏီ/n	တိုတယ်ကုမ္ပဏီ
ချက်ဗရွန်/n|ကုမ္ပဏီ/n	ချက်ဗရွန်ကုမ္ပဏီ
သခင်/n|အောင်ဆန်း/n	သခင်အောင်ဆန်း
သူ့/pron|ရဲဘော်ရဲဘက်/n	သူ့ရဲဘော်ရဲဘက်
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
ဖက်ဆစ်/n|စနစ်/n	ဖက်ဆစ်စနစ်
လူပါးမဝ/v|မှု/part	လူပါးမဝမှု
ဓနရှင်/n|ပေါက်စ/n	ဓနရှင်ပေါက်စ
စိုးရိမ်/v|မှု/part	စိုးရိမ်မှု
တီထွင်/v|ထုတ်လုပ်/v|သူ/n	တီထွင်ထုတ်လုပ်သူ
ယူနီဗာစီတီ/n|ကောလိပ်/n	ယူနီဗာစီတီကောလိပ်
ဘာသာ/n|ရေး/part	ဘာသာရေး
ဂျပ်ဆင်/n|ကောလိပ်/n	ဂျပ်ဆင်ကောလိပ်
နှစ်ခြင်း/n|ခရစ်ယာန်/n|သာသနာအခြေပြုကျောင်း/n	နှစ်ခြင်းခရစ်ယာန်သာသနာအခြေပြုကျောင်း
လူနီ/n|မြစ်/n	လူနီမြစ်
ကတ်ချ/n|ပင်လယ်ကွေ့/n	ကတ်ချပင်လယ်ကွေ့
နေ/v|ခြင်း/part	နေခြင်း
ဖွံ့ဖြိုး/adj|မှု/part	ဖွံ့ဖြိုးမှု
စီးပွား/n|ရေး/part	စီးပွားရေး
ဘဝ/n|အရည်အသွေး/n	ဘဝအရည်အသွေး
အကျိုး/n|သက်ရောက်/v|မှု/part	အကျိုးသက်ရောက်မှု
မစ္စတာ/n|စမစ်သ်/n	မစ္စတာစမစ်သ်
အစိမ်း/n|ရောင်/n	အစိမ်းရောင်
ပညာ/n|သင်ကြား/v|ရေး/part	ပညာသင်ကြားရေး
စရိုက်/n|လက္ခဏာ/n	စရိုက်လက္ခဏာ
တိုးတက်/v|မှု/part	တိုးတက်မှု
လူ့/n|အခွင့်အရေး/n	လူ့အခွင့်အရေး
ရိုသေ/v|လေးစား/v|မှု/part	ရိုသေလေးစားမှု
ရှာဖွေ/v|ခြင်း/part	ရှာဖွေခြင်း
လေ့လာ/v|ခြင်း/part	လေ့လာခြင်း
လေ့လာ/v|ခြင်း/part	လေ့လာခြင်း
စိုက်ပျိုး/v|ယူ/v|ပုံ/part	စိုက်ပျိုးယူပုံ
လေ့လာ/v|ခြင်း/part	လေ့လာခြင်း
ဗိုလ်ချုပ်/n|နေဝင်း/n	ဗိုလ်ချုပ်နေဝင်း
ပြန်ကြား/v|ခြင်း/part	ပြန်ကြားခြင်း
လန်ဒန်/n|မြို့/n	လန်ဒန်မြို့
ဖွဲ့စည်းပုံ/n|အခြေခံ/n|ဥပဒေ/n	ဖွဲ့စည်းပုံအခြေခံဥပဒေ
ချိုးဖောက်/v|ဖျက်ဆီး/v|ခြင်း/part	ချိုးဖောက်ဖျက်ဆီးခြင်း
ပြုလုပ်/v|မှု/part	ပြုလုပ်မှု
နစ်နာ/v|ချက်/part	နစ်နာချက်
နိုင်ငံ/n|ဆိုင်ရာ/n	နိုင်ငံဆိုင်ရာ
နားလည်/v|မှု/part	နားလည်မှု
ဘဝ/n|ကြင်ဖော်သူ/n	ဘဝကြင်ဖော်သူ
ရှိ/v|နေ/part|ခြင်း/part	ရှိနေခြင်း
ယုံမှား/v|သံသယ/n|ရှိ/v|ဖွယ်/part	ယုံမှားသံသယရှိဖွယ်
အမရပူရ/n|မြို့/n	အမရပူရမြို့
တောင်/n|မြို့/n	တောင်မြို့
မန္တလေး/n|တိုင်း/n	မန္တလေးတိုင်း
မန္တလေး/n|မြို့/n	မန္တလေးမြို့
အမေရိကန်/n|အပြည်ပြည်/n|ဆိုင်ရာ/n|ဖွံ့ဖြိုး/adj|ရေး/part	အမေရိကန်အပြည်ပြည်ဆိုင်ရာဖွံ့ဖြိုးရေး
ဘေးဒုက္ခ/n|ကူညီ/v|ကယ်ဆယ်/v|ရေး/part|ဆောင်ရွက်/v|မှု/part|အသင်း/n	ဘေးဒုက္ခကူညီကယ်ဆယ်ရေးဆောင်ရွက်မှုအသင်း
ဖြည့်တင်း/v|ရေး/part	ဖြည့်တင်းရေး
သန့်ရှင်း/v|ရေး/part	သန့်ရှင်းရေး
အမိုး/n|အကာ/n	အမိုးအကာ
ထောက်ပံ့/v|ရေး/part	ထောက်ပံ့ရေး
ကုလသမဂ္ဂ/n|ဒုက္ခသည်/n|များ/part|ဆိုင်ရာ/n|မဟာမင်းကြီး/n|ရုံး/n	ကုလသမဂ္ဂဒုက္ခသည်များဆိုင်ရာမဟာမင်းကြီးရုံး
ဆက်ဆံ/v|ရေး/part	ဆက်ဆံရေး
ဖြစ်/v|ကြောင်း/part	ဖြစ်ကြောင်း
အိန္ဒိယ/n|လူမျိုး/n	အိန္ဒိယလူမျိုး
ဟိန္ဒူ/n|ဘာသာ/n	ဟိန္ဒူဘာသာ
ခရစ်ယာန်/n|ဘာသာ/n	ခရစ်ယာန်ဘာသာ
အစ္စလာမ်/n|ဘာသာ/n	အစ္စလာမ်ဘာသာ
နာမည်/n|စာရင်း/n	နာမည်စာရင်း
အလာစကာ/n|ပြည်/n	အလာစကာပြည်
အာရှ/n|တိုက်/n	အာရှတိုက်
ဥရောပ/n|တိုက်/n	ဥရောပတိုက်
မြောက်အမေရိက/n|တိုက်/n	မြောက်အမေရိကတိုက်
ကုန်းမ/n|ကြီး/part	ကုန်းမကြီး
ဘင်္ဂလား/n|ပင်လယ်အော်/n	ဘင်္ဂလားပင်လယ်အော်
ကပ္ပလီ/n|ကျွန်း/n	ကပ္ပလီကျွန်း
နီကိုဗာ/n|ကျွန်း/n	နီကိုဗာကျွန်း
အာရေဗျ/n|ပင်လယ်/n	အာရေဗျပင်လယ်
လက်ကဒိုက်/n|ကျွန်း/n	လက်ကဒိုက်ကျွန်း
မင်နီကွိုင်/n|ကျွန်း/n	မင်နီကွိုင်ကျွန်း
အမင်ဒီဗီ/n|ကျွန်း/n	အမင်ဒီဗီကျွန်း
အိန္ဒိယ/n|ပြည်ထောင်စု/n	အိန္ဒိယပြည်ထောင်စု
အိန္ဒိယ/n|နိုင်ငံ/n	အိန္ဒိယနိုင်ငံ
အိန္ဒိယ/n|နိုင်ငံ/n	အိန္ဒိယနိုင်ငံ
ပြည်ထောင်စု/n|နယ်မြေ/n	ပြည်ထောင်စုနယ်မြေ
သွင်း/v|လိုက်/part|ခြင်း/part	သွင်းလိုက်ခြင်း
အဓိပ္ပါယ်/n|ဖော်ကျူး/v|မှု/part	အဓိပ္ပါယ်ဖော်ကျူးမှု
စိတ်/n|ခံစား/v|မှု/part	စိတ်ခံစားမှု
စိတ်/n|ခံစား/v|မှု/part	စိတ်ခံစားမှု
ဂရိတ်ဗြိတိန်/n|နိုင်ငံ/n	ဂရိတ်ဗြိတိန်နိုင်ငံ
ပြည်ထောင်စု/n|မြန်မာ/n|နိုင်ငံတော်/n	ပြည်ထောင်စုမြန်မာနိုင်ငံတော်
လွတ်လပ်/v|ရေး/part	လွတ်လပ်ရေး
သောကြာ/n|ကြယ်/n	သောကြာကြယ်
အယုဒ္ဓယ/n|မြို့/n	အယုဒ္ဓယမြို့
ယိုးဒယား/n|မြို့/n	ယိုးဒယားမြို့
ဥမင်/n|ကြီး/part	ဥမင်ကြီး
အယုဒ္ဓယ/n|မြို့/n	အယုဒ္ဓယမြို့
ယိုးဒယား/n|မြို့သား/n	ယိုးဒယားမြို့သား
နေ/v|ခြင်း/part	နေခြင်း
အမည်း/n|ရောင်/n	အမည်းရောင်
လည်ဆံ/n|မွေး/n	လည်ဆံမွေး
အမြီး/n|မွေး/n	အမြီးမွေး
မြန်မာ/n|စာ/n	မြန်မာစာ
ညွှန်ကြားရေးမှူးချုပ်/n|ဦးစံလွင်/n	ညွှန်ကြားရေးမှူးချုပ်ဦးစံလွင်
မြန်မာ/n|စာ/n	မြန်မာစာ
အဖွဲ့/n|ဝင်/v	အဖွဲ့ဝင်
အဖွဲ့/n|ဝင်/v	အဖွဲ့ဝင်
မြိတ်/n|ဒေသ/n	မြိတ်ဒေသ
မြန်မာ/n|ဘုရင်/n	မြန်မာဘုရင်
ယိုးဒယား/n|ဘုရင်/n	ယိုးဒယားဘုရင်
အုပ်ချုပ်/v|ခြင်း/part	အုပ်ချုပ်ခြင်း
မျူနီစီပယ်/n|အဖွဲ့/n	မျူနီစီပယ်အဖွဲ့
အမေရိကန်/n|ပြည်ထောင်စု/n	အမေရိကန်ပြည်ထောင်စု
မြန်မာ/n|ကျောင်းသား/n	မြန်မာကျောင်းသား
အောင်မြင်/v|သူ/n	အောင်မြင်သူ
ယူရေနတ်/n|ဂြိုဟ်/n	ယူရေနတ်ဂြိုဟ်
အထိမ်းအမှတ်/n|ပန်း/n	အထိမ်းအမှတ်ပန်း
ရာဇဝတ်/n|မှု/part	ရာဇဝတ်မှု
ကင်းရှင်း/v|ကြောင်း/part	ကင်းရှင်းကြောင်း
ဂျပန်/n|သံရုံး/n	ဂျပန်သံရုံး
ကန့်/n|အက်တမ်/n	ကန့်အက်တမ်
ဖြစ်/v|ကြောင်း/part	ဖြစ်ကြောင်း
နေရာ/n|ဒေသ/n	နေရာဒေသ
ထုတ်လုပ်/v|မှု/part	ထုတ်လုပ်မှု
ကျဆင်း/v|သွား/part|ခြင်း/part	ကျဆင်းသွားခြင်း
ထုတ်လုပ်/v|မှု/part	ထုတ်လုပ်မှု
တိုးတက်/v|ခြင်း/part	တိုးတက်ခြင်း
ဖွဲ့စည်း/v|ထား/part|ခြင်း/part	ဖွဲ့စည်းထားခြင်း
အင်္ဂလန်/n|နိုင်ငံ/n	အင်္ဂလန်နိုင်ငံ
လွတ်လပ်/v|ရေး/part	လွတ်လပ်ရေး
ကြေညာ/v|ချက်/part	ကြေညာချက်
ဟိုက်ဒြိုဂျင်/n|အက်တမ်/n	ဟိုက်ဒြိုဂျင်အက်တမ်
ရှိ/v|ကြောင်း/part	ရှိကြောင်း
ချင်း/n|မင်းဆက်/n	ချင်းမင်းဆက်
ထိုးအောင့်/v|နာကျင်/v|ခြင်း/part	ထိုးအောင့်နာကျင်ခြင်း
ယူနိုကယ်လ်/n|ကုမ္ပဏီ/n	ယူနိုကယ်လ်ကုမ္ပဏီ
ရှမ်း/n|စစ်သည်/n	ရှမ်းစစ်သည်
သံလွင်/n|မြစ်/n	သံလွင်မြစ်
အရှေ့/n|ဘက်/n	အရှေ့ဘက်
မြန်မာ/n|စစ်သည်/n	မြန်မာစစ်သည်
ဩဂုတ်/n|လ/n	ဩဂုတ်လ
လွတ်လပ်/v|ရေး/part	လွတ်လပ်ရေး
မလက္ကာ/n|ရေလက်ကြား/n	မလက္ကာရေလက်ကြား
မလေးရှား/n|ကျွန်းဆွယ်/n	မလေးရှားကျွန်းဆွယ်
ကမ္ဘာ့/n|ရေကြောင်း/n	ကမ္ဘာ့ရေကြောင်း
သွားလာ/v|ရေး/part	သွားလာရေး
ဘာသာ/n|ရေး/part	ဘာသာရေး
အယူ/n|ဂိုဏ်းကွဲ/n	အယူဂိုဏ်းကွဲ
ဘာသာ/n|ရေး/part|ပွဲလမ်း/n	ဘာသာရေးပွဲလမ်း
ခွင့်ပြု/v|ချက်/part	ခွင့်ပြုချက်
အမျိုးသား/n|ညီလာခံ/n	အမျိုးသားညီလာခံ
အောက်တိုဘာ/n|လ/n	အောက်တိုဘာလ
ဖြစ်/v|ကြောင်း/part	ဖြစ်ကြောင်း
အမျိုးသား/n|ဒီမိုကရေစီ/n|အဖွဲ့ချုပ်/n	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်
စိုက်ပျိုး/v|ရာ/part	စိုက်ပျိုးရာ
မြန်မာ/n|စကား/n	မြန်မာစကား
အာရှ/n|အလယ်/n|ပိုင်း/part	အာရှအလယ်ပိုင်း
ကျူးကျော်/v|တိုက်ခိုက်/v|မှု/part	ကျူးကျော်တိုက်ခိုက်မှု
မြောက်/n|အိန္ဒိယ/n	မြောက်အိန္ဒိယ
အုပ်ချုပ်/v|မှု/part	အုပ်ချုပ်မှု
မူဂယ်/n|အင်ပိုင်ယာ/n	မူဂယ်အင်ပိုင်ယာ
မြန်မာ/n|နာရီ/n	မြန်မာနာရီ
ကမ္ဘာ/n|စစ်/n	ကမ္ဘာစစ်
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
ဂျပန်/n|စစ်တပ်/n	ဂျပန်စစ်တပ်
ငါ့/pron|ခမည်းတော်/n	ငါ့ခမည်းတော်
ခံ/v|သော/part|သူ/n	ခံသောသူ
ပေါင်းစည်း/v|ရေး/part	ပေါင်းစည်းရေး
ပစ်ပယ်/v|ခဲ့/part|ခြင်း/part	ပစ်ပယ်ခဲ့ခြင်း
နေပြည်တော်/n|မြို့တော်/n	နေပြည်တော်မြို့တော်
ရေပြာ/n|ဂေါက်ကွင်း/n	ရေပြာဂေါက်ကွင်း
ကျောက်မျက်/n|ပြတိုက်/n	ကျောက်မျက်ပြတိုက်
တုဖက်/v|နှိုင်းယှဉ်/v|ရာ/part	တုဖက်နှိုင်းယှဉ်ရာ
ပြောင်း/v|ရာ/part	ပြောင်းရာ
ပင်လယ်ရေ/n|မျက်နှာပြင်/n	ပင်လယ်ရေမျက်နှာပြင်
ဘူမိဗေဒ/n|ပညာ/n	ဘူမိဗေဒပညာ
ပထဝီ/n|မြေကြီး/n	ပထဝီမြေကြီး
ပြည်/n|ခရိုင်/n	ပြည်ခရိုင်
သဲကုန်း/n|မြို့နယ်/n	သဲကုန်းမြို့နယ်
သိုက်တော/n|ရွာ/n	သိုက်တောရွာ
ပြင်းထန်/adj|မှု/part	ပြင်းထန်မှု
အပူစီးကူး/v|ခြင်း/part	အပူစီးကူးခြင်း
ဗိုလ်ချုပ်/n|အောင်ဆန်း/n	ဗိုလ်ချုပ်အောင်ဆန်း
ဗမာ့/n|မျိုးချစ်/n|တပ်မတော်/n	ဗမာ့မျိုးချစ်တပ်မတော်
မြန်မာ့/n|တပ်မတော်/n	မြန်မာ့တပ်မတော်
အနာဂတ်/n|အရေး/n	အနာဂတ်အရေး
မေ/n|လ/n	မေလ
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
အမေရိကန်/n|သံမှူး/n|ရှရီဗေလာရိုဆာ/n	အမေရိကန်သံမှူးရှရီဗေလာရိုဆာ
နာဂစ်/n|မုန်တိုင်း/n	နာဂစ်မုန်တိုင်း
ကြမ္မာ/n|ဒုက္ခဆိုး/n	ကြမ္မာဒုက္ခဆိုး
တရုတ်/n|ဘာသာစကား/n	တရုတ်ဘာသာစကား
ခိုင်မာ/v|ခြင်း/part	ခိုင်မာခြင်း
တော်လှန်/v|ရေး/part	တော်လှန်ရေး
လုပ်ဆောင်/v|ချက်/part	လုပ်ဆောင်ချက်
တင်ပြ/v|ခြင်း/part	တင်ပြခြင်း
မြင်/v|ခြင်း/part	မြင်ခြင်း
အင်္ဂါ/n|ဂြိုဟ်/n	အင်္ဂါဂြိုဟ်
ဝမ်းဗိုက်အောင့်/v|နာကျင်/v|ခြင်း/part	ဝမ်းဗိုက်အောင့်နာကျင်ခြင်း
တိုင်းရင်းသား/n|မျိုးနွယ်စု/n	တိုင်းရင်းသားမျိုးနွယ်စု
ရန်ကုန်/n|မြို့/n	ရန်ကုန်မြို့
အရှေ့တောင်/n|အာရှ/n	အရှေ့တောင်အာရှ
ဖွံ့ဖြိုး/adj|မှု/part	ဖွံ့ဖြိုးမှု
မြောက်/n|ဘက်/n	မြောက်ဘက်
တရုတ်/n|ပြည်သူ့/n|သမ္မတနိုင်ငံ/n	တရုတ်ပြည်သူ့သမ္မတနိုင်ငံ
အရှေ့/n|ဘက်/n	အရှေ့ဘက်
လာအို/n|နိုင်ငံ/n	လာအိုနိုင်ငံ
အရှေ့တောင်/n|ဘက်/n	အရှေ့တောင်ဘက်
ထိုင်း/n|နိုင်ငံ/n	ထိုင်းနိုင်ငံ
အနောက်/n|ဘက်/n	အနောက်ဘက်
ဘင်္ဂလားဒေ့ရှ်/n|နိုင်ငံ/n	ဘင်္ဂလားဒေ့ရှ်နိုင်ငံ
အိန္ဒိယ/n|နိုင်ငံ/n	အိန္ဒိယနိုင်ငံ
တောင်/n|ဘက်/n	တောင်ဘက်
ကပ္ပလီ/n|ပင်လယ်/n	ကပ္ပလီပင်လယ်
အနောက်တောင်/n|ဘက်/n	အနောက်တောင်ဘက်
ဘင်္ဂလား/n|ပင်လယ်အော်/n	ဘင်္ဂလားပင်လယ်အော်
လမ်းပြ/n|မြေပုံ/n	လမ်းပြမြေပုံ
ဂျပန်/n|ခေတ်/n	ဂျပန်ခေတ်
မ/part|ရေရာ/v|မှု/part	မရေရာမှု
မဟာဘုတ်/n|အိမ်/n	မဟာဘုတ်အိမ်
ဆရာ/n|ဦးမရမ်ရိုဘင်/n	ဆရာဦးမရမ်ရိုဘင်
ကချင်/n|ကိုယ်စားလှယ်/n	ကချင်ကိုယ်စားလှယ်
ဘုရင်ခံ/n|ဆာကုတ်ဘတ္တာလာ/n	ဘုရင်ခံဆာကုတ်ဘတ္တာလာ
ကချင်/n|တောင်တန်း/n|ဒေသ/n	ကချင်တောင်တန်းဒေသ
အပြည်ပြည်/n|ဆိုင်ရာ/n	အပြည်ပြည်ဆိုင်ရာ
ထိန်းသိမ်း/v|ရေး/part	ထိန်းသိမ်းရေး
ဝက်ဝံ/n|မျိုးစိတ်/n	ဝက်ဝံမျိုးစိတ်
စိုးရိမ်/v|မှု/part	စိုးရိမ်မှု
မျိုးတုံး/v|ပျောက်ကွယ်/v|မှု/part	မျိုးတုံးပျောက်ကွယ်မှု
ခရစ်ယာန်/n|အသင်း/n|တော်/part	ခရစ်ယာန်အသင်းတော်
ရောဂါ/n|ဝေဒနာ/n	ရောဂါဝေဒနာ
ရုက္ခဗေဒ/n|ပညာရှင်/n	ရုက္ခဗေဒပညာရှင်
ခန့်မှန်း/v|ချက်/part	ခန့်မှန်းချက်
ညွှန်ကြား/v|ချက်/part	ညွှန်ကြားချက်
ပျော်/v|စရာ/part	ပျော်စရာ
အပျော်/n|ခရီးစဉ်/n	အပျော်ခရီးစဉ်
ခေတ်/n|ကြီး/part	ခေတ်ကြီး
ဒဿနိကဗေဒ/n|ပညာရှင်/n	ဒဿနိကဗေဒပညာရှင်
စကြဝဠာ/n|ကြီး/part	စကြဝဠာကြီး
စနစ်/n|ဖွဲ့/v|ခြင်း/part	စနစ်ဖွဲ့ခြင်း
လွတ်လပ်/v|ရေး/part	လွတ်လပ်ရေး
ဖြစ်/v|ကြောင်း/part	ဖြစ်ကြောင်း
လွတ်လပ်/v|ရေး/part	လွတ်လပ်ရေး
ဖြစ်/v|ကြောင်း/part	ဖြစ်ကြောင်း
စိုက်ပျိုး/v|ရေး/part	စိုက်ပျိုးရေး
စား/v|ဝတ်/v|နေ/v|ရေး/part	စားဝတ်နေရေး
အိန္ဒိယ/n|နိုင်ငံ/n	အိန္ဒိယနိုင်ငံ
စက်မှု/n|နိုင်ငံ/n	စက်မှုနိုင်ငံ
စိုက်ပျိုး/v|ရေး/part|ကောလိပ်/n	စိုက်ပျိုးရေးကောလိပ်
အပ်/v|စရာ/part	အပ်စရာ
ထုတ်ပေး/v|ခြင်း/part	ထုတ်ပေးခြင်း
စီးပွား/n|ရေး/part|စနစ်/n	စီးပွားရေးစနစ်
ဖေါ်ထုတ်/v|သိရှိ/v|နိုင်/part|ခြင်း/part	ဖေါ်ထုတ်သိရှိနိုင်ခြင်း
သိရှိ/v|နိုင်/part|ခြင်း/part	သိရှိနိုင်ခြင်း
လူနေမှု/n|အဆင့်အတန်း/n	လူနေမှုအဆင့်အတန်း
နှိုင်းယှဉ်/v|နိုင်/part|ခြင်း/part	နှိုင်းယှဉ်နိုင်ခြင်း
ယူဆ/v|ထား/part|ရှိ/part|ခြင်း/part	ယူဆထားရှိခြင်း
ဂျပန်/n|ခေတ်/n	ဂျပန်ခေတ်
ဒေါက်တာ/n|ဘမော်/n|အစိုးရ/n	ဒေါက်တာဘမော်အစိုးရ
ပညာတတ်/n|ပုဂ္ဂိုလ်/n	ပညာတတ်ပုဂ္ဂိုလ်
မြန်မာ့/n|စွယ်စုံကျမ်း/n	မြန်မာ့စွယ်စုံကျမ်း
မြန်မာ/n|ပြည်ထောင်စုသား/n	မြန်မာပြည်ထောင်စုသား
ဖိလစ်ပိုင်/n|နိုင်ငံ/n	ဖိလစ်ပိုင်နိုင်ငံ
ဆန္ဒပြ/v|သူ/n	ဆန္ဒပြသူ
နိုင်ငံ/n|ရေး/part	နိုင်ငံရေး
ကြေညာ/v|ချက်/part	ကြေညာချက်
ရိတ်/v|ခြင်း/part	ရိတ်ခြင်း
ယဉ်ကျေး/adj|မှု/part	ယဉ်ကျေးမှု
ပြောင်းလဲ/v|တိုးတက်/v|ဆက်စပ်/v|လာ/part|ပုံ/part	ပြောင်းလဲတိုးတက်ဆက်စပ်လာပုံ
အသုံးချ/v|မှု/part	အသုံးချမှု
အန္တရာယ်/n|ပေး/v|နိုင်/part|ကြောင်း/part	အန္တရာယ်ပေးနိုင်ကြောင်း
ဘာသာစကား/n|ပညာရပ်/n	ဘာသာစကားပညာရပ်
အသံလှယ်/n|ပညာရပ်/n	အသံလှယ်ပညာရပ်
အသံထွက်/n|ပညာရပ်/n	အသံထွက်ပညာရပ်
အဓိပ္ပါယ်/n|ပညာရပ်/n	အဓိပ္ပါယ်ပညာရပ်
ဘာသာစကား/n|ဗေဒ/n	ဘာသာစကားဗေဒ
အကိုင်း/n|အခက်/n|အလက်/n	အကိုင်းအခက်အလက်
